Country,Year,fertility,life,population,child_mortality,gdp
Afghanistan,2011,5.395,60.079,32358260,102.3,1695
Afghanistan,2012,5.141,60.524,33397058,99.5,1893
Afghanistan,2013,4.9,60.947,34499915,96.7,1884
Albania,1964,5.711,65.475,1817098,122.67,3023
Albania,1965,5.594,65.863,1869942,120.09,3129
Albania,1966,5.483,66.122,1922993,117.56,3242
Albania,1967,5.376,66.316,1976140,115.09,3359
Albania,1968,5.268,66.5,2029314,112.67,3475
Albania,1969,5.16,66.702,2082474,110.3,3587
Albania,1970,5.05,66.948,2135599,107.98,3712
Albania,1971,4.933,67.251,2188650,105.71,3849
Albania,1972,4.809,67.595,2241623,103.49,3988
Albania,1973,4.677,67.966,2294578,101.31,4174
Albania,1974,4.538,68.356,2347607,99.18,4177
Albania,1975,4.393,68.748,2400801,97.1,4178
Albania,1976,4.244,69.121,2454255,95.06,4182
Albania,1977,4.094,69.459,2508026,93.06,4188
Albania,1978,3.947,69.753,2562121,91.1,4194
Albania,1979,3.807,70.001,2616530,84.7,4201
Albania,1980,3.678,70.218,2671300,78.6,4218
Albania,1981,3.562,70.426,2725029,73,4227
Albania,1982,3.46,70.646,2777592,67.8,4237
Albania,1983,3.372,70.886,2831682,62.8,4248
Albania,1984,3.297,71.144,2891004,58.3,4259
Albania,1985,3.233,71.398,2957390,54.3,4267
Albania,1986,3.177,71.615,3033393,50.7,4281
Albania,1987,3.126,71.77,3116009,47.6,4294
Albania,1988,3.075,71.853,3194854,44.9,4307
Albania,1989,3.023,71.87,3255859,42.5,4325
Albania,1990,2.97,71.842,3289483,40.6,4350
Albania,1991,2.917,71.799,3291695,38.8,3081
Albania,1992,2.867,71.779,3266983,37.3,2877
Albania,1993,2.819,71.813,3224901,36,3172
Albania,1994,2.772,71.92,3179442,34.6,3457
Albania,1995,2.723,72.117,3141102,33.2,3941
Albania,1996,2.67,72.415,3112597,31.8,4326
Albania,1997,2.611,72.796,3091902,30.3,3909
Albania,1998,2.543,73.235,3079037,28.9,4434
Albania,1999,2.467,73.713,3072725,27.5,4912
Albania,2000,2.383,74.2,3071856,26.2,5305
Albania,2001,2.291,74.664,3077378,24.9,5730
Albania,2002,2.195,75.081,3089778,23.6,5913
Albania,2003,2.097,75.437,3106701,22.5,6274
Albania,2004,2.004,75.725,3124861,21.5,6672
Albania,2005,1.919,75.949,3141800,20.5,7075
Albania,2006,1.849,76.124,3156607,19.5,7476
Albania,2007,1.796,76.278,3169665,18.7,7977
Albania,2008,1.761,76.433,3181397,17.9,8644
Albania,2009,1.744,76.598,3192723,17.3,8994
Albania,2010,1.741,76.78,3204284,16.6,9374
Albania,2011,1.748,76.979,3215988,16,9640
Albania,2012,1.76,77.185,3227373,15.5,9811
Albania,2013,1.771,77.392,3238316,14.9,9961
Algeria,1964,7.653,47.953,11654905,247.3,5693
Algeria,1965,7.655,48.389,11923002,248.2,5916
Algeria,1966,7.657,48.806,12229853,248.9,5478
Algeria,1967,7.658,49.205,12572629,248.9,5811
Algeria,1968,7.657,49.592,12945462,248,6319
Algeria,1969,7.652,49.976,13338918,245.8,6747
Algeria,1970,7.641,50.366,13746185,242.2,7227
Algeria,1971,7.622,50.767,14165889,237.3,6427
Algeria,1972,7.591,51.195,14600659,230.9,7556
Algeria,1973,7.548,51.67,15052371,223.4,7581
Algeria,1974,7.492,52.213,15524137,214.9,7812
Algeria,1975,7.422,52.861,16018195,205.5,8119
Algeria,1976,7.339,53.656,16533323,195.7,8400
Algeria,1977,7.244,54.605,17068212,185.1,8888
Algeria,1978,7.138,55.697,17624756,173.9,9730
Algeria,1979,7.021,56.907,18205468,161.7,10293
Algeria,1980,6.889,58.198,18811199,148,10166
Algeria,1981,6.741,59.524,19442423,132.6,10160
Algeria,1982,6.576,60.826,20095648,115.9,10477
Algeria,1983,6.392,62.051,20762767,98.9,10696
Algeria,1984,6.192,63.16,21433070,83.6,10947
Algeria,1985,5.976,64.12,22098298,71.2,11030
Algeria,1986,5.747,64.911,22753511,61.9,10722
Algeria,1987,5.508,65.554,23398470,55.3,10378
Algeria,1988,5.263,66.072,24035237,51.2,9888
Algeria,1989,5.014,66.479,24668100,48.6,10115
Algeria,1990,4.761,66.796,25299182,46.9,10113
Algeria,1991,4.503,67.049,25930560,45.8,9748
Algeria,1992,4.238,67.265,26557969,45,9693
Algeria,1993,3.971,67.468,27169903,44.2,9279
Algeria,1994,3.705,67.674,27751086,43.5,9006
Algeria,1995,3.449,67.893,28291591,42.6,9168
Algeria,1996,3.207,68.123,28786855,41.8,9375
Algeria,1997,2.987,68.35,29242917,41.2,9322
Algeria,1998,2.794,68.565,29673694,40.7,9646
Algeria,1999,2.634,68.769,30099010,40.2,9810
Algeria,2000,2.514,68.963,30533827,39.7,9885
Algeria,2001,2.439,69.149,30982214,38.9,10203
Algeria,2002,2.407,69.33,31441848,37.8,10634
Algeria,2003,2.412,69.508,31913462,36.5,11251
Algeria,2004,2.448,69.682,32396048,35.1,11575
Algeria,2005,2.507,69.854,32888449,33.6,12077
Algeria,2006,2.58,70.02,33391954,32.1,12088
Algeria,2007,2.656,70.18,33906605,30.7,12289
Algeria,2008,2.725,70.332,34428028,29.5,12314
Algeria,2009,2.781,70.477,34950168,28.4,12285
Algeria,2010,2.817,70.615,35468208,27.4,12494
Algeria,2011,2.829,70.747,35980193,26.6,12606
Algeria,2012,2.82,70.874,36485828,25.8,12779
Algeria,2013,2.795,71,36983924,25.2,12893
Angola,1964,7.425,34.604,5337063,305.2,4573
Angola,1965,7.43,35.007,5431135,297.55,4840
Angola,1966,7.422,35.41,5524090,289.99,5043
Angola,1967,7.403,35.816,5617242,282.4,5253
Angola,1968,7.375,36.222,5713156,275.28,5093
Angola,1969,7.339,36.627,5815282,268.59,5158
Angola,1970,7.301,37.032,5926333,262.29,5397
Angola,1971,7.264,37.439,6047736,259.32,5614
Angola,1972,7.232,37.846,6179685,256.39,5511
Angola,1973,7.208,38.247,6322194,253.49,5831
Angola,1974,7.192,38.635,6474796,250.63,5880
Angola,1975,7.185,38.998,6637419,247.79,5454
Angola,1976,7.186,39.324,6808850,244.99,5044
Angola,1977,7.189,39.605,6989988,242.22,4956
Angola,1978,7.194,39.84,7185188,239.48,4572
Angola,1979,7.197,40.029,7400231,236.78,4458
Angola,1980,7.2,40.182,7638420,234.1,4443
Angola,1981,7.201,40.311,7903368,232.8,4110
Angola,1982,7.203,40.429,8191774,231.5,3970
Angola,1983,7.205,40.547,8491682,230.2,3996
Angola,1984,7.207,40.671,8786652,229.1,4099
Angola,1985,7.208,40.794,9065562,228.3,4117
Angola,1986,7.206,40.902,9322550,227.5,4135
Angola,1987,7.202,40.988,9562796,226.9,4319
Angola,1988,7.194,41.05,9799680,226.5,4455
Angola,1989,7.182,41.1,10052567,226.2,4365
Angola,1990,7.165,41.151,10335052,226,4232
Angola,1991,7.143,41.221,10653515,225.9,4056
Angola,1992,7.116,41.329,11002910,226,3656
Angola,1993,7.087,41.495,11371750,225.8,2663
Angola,1994,7.054,41.736,11742960,225.5,2669
Angola,1995,7.019,42.073,12105105,224.8,2859
Angola,1996,6.984,42.526,12452725,224,3091
Angola,1997,6.949,43.088,12792237,222.6,3246
Angola,1998,6.913,43.742,13138265,220.8,3376
Angola,1999,6.878,44.468,13511575,218.9,3389
Angola,2000,6.844,45.234,13926373,216.7,3387
Angola,2001,6.811,46.004,14388244,214.1,3417
Angola,2002,6.778,46.743,14890474,211.7,3759
Angola,2003,6.743,47.425,15419943,209.2,3819
Angola,2004,6.704,48.036,15957460,206.7,4087
Angola,2005,6.657,48.572,16489021,203.9,4667
Angola,2006,6.598,49.041,17010366,200.5,5445
Angola,2007,6.523,49.471,17525367,196.4,6453
Angola,2008,6.434,49.882,18037964,192,7103
Angola,2009,6.331,50.286,18555115,187.3,7039
Angola,2010,6.218,50.689,19081912,182.5,7047
Angola,2011,6.099,51.094,19618432,177.3,7094
Angola,2012,5.979,51.498,20162517,172.2,7230
Angola,2013,5.863,51.899,20714494,167.1,7488
Antigua and Barbuda,1964,4.25,63.775,58653,72.78,5008
Antigua and Barbuda,1965,4.193,64.149,59844,69.91,5133
Antigua and Barbuda,1966,4.125,64.511,61032,66.69,5262
Antigua and Barbuda,1967,4.042,64.865,62226,63.53,5393
Antigua and Barbuda,1968,3.942,65.213,63401,60.97,5528
Antigua and Barbuda,1969,3.824,65.558,64528,58.16,5666
Antigua and Barbuda,1970,3.684,65.898,65587,55.87,5807
Antigua and Barbuda,1971,3.517,66.232,66554,53.73,6088
Antigua and Barbuda,1972,3.328,66.558,67419,51.35,6378
Antigua and Barbuda,1973,3.122,66.875,68182,49.44,6770
Antigua and Barbuda,1974,2.908,67.181,68848,47.58,6888
Antigua and Barbuda,1975,2.701,67.479,69420,45.77,6458
Antigua and Barbuda,1976,2.514,67.768,69910,43.98,5885
Antigua and Barbuda,1977,2.358,68.051,70301,42.22,6371
Antigua and Barbuda,1978,2.239,68.328,70533,40.83,6691
Antigua and Barbuda,1979,2.159,68.602,70525,39.16,7536
Antigua and Barbuda,1980,2.115,68.873,70228,37.53,8169
Antigua and Barbuda,1981,2.098,69.141,69639,36.01,8689
Antigua and Barbuda,1982,2.096,69.408,68803,34.55,8827
Antigua and Barbuda,1983,2.098,69.671,67792,33.16,9540
Antigua and Barbuda,1984,2.098,69.931,66701,31.83,10388
Antigua and Barbuda,1985,2.092,70.186,65614,30.54,11383
Antigua and Barbuda,1986,2.082,70.435,64539,29.32,12600
Antigua and Barbuda,1987,2.07,70.675,63510,28.14,14027
Antigua and Barbuda,1988,2.062,70.907,62669,27.01,15441
Antigua and Barbuda,1989,2.058,71.132,62192,25.93,16611
Antigua and Barbuda,1990,2.061,71.351,62202,25.5,17154
Antigua and Barbuda,1991,2.073,71.568,62754,24.2,17361
Antigua and Barbuda,1992,2.096,71.783,63802,23.1,17226
Antigua and Barbuda,1993,2.128,72,65238,21.9,17753
Antigua and Barbuda,1994,2.166,72.219,66895,20.8,18400
Antigua and Barbuda,1995,2.208,72.441,68642,19.7,17167
Antigua and Barbuda,1996,2.248,72.664,70450,18.8,17830
Antigua and Barbuda,1997,2.281,72.888,72322,17.9,18186
Antigua and Barbuda,1998,2.304,73.11,74190,17,18483
Antigua and Barbuda,1999,2.316,73.329,75985,16.2,18780
Antigua and Barbuda,2000,2.316,73.544,77656,15.5,19319
Antigua and Barbuda,2001,2.305,73.755,79165,14.8,18388
Antigua and Barbuda,2002,2.288,73.96,80507,14.1,18676
Antigua and Barbuda,2003,2.268,74.16,81716,13.5,19566
Antigua and Barbuda,2004,2.246,74.355,82838,12.9,20395
Antigua and Barbuda,2005,2.224,74.544,83916,12.4,21414
Antigua and Barbuda,2006,2.203,74.729,84952,11.8,24016
Antigua and Barbuda,2007,2.183,74.91,85935,11.3,26008
Antigua and Barbuda,2008,2.164,75.087,86881,10.9,25736
Antigua and Barbuda,2009,2.146,75.263,87802,10.4,22389
Antigua and Barbuda,2010,2.13,75.437,88710,9.9,20567
Antigua and Barbuda,2011,2.115,75.61,89612,9.5,19988
Antigua and Barbuda,2012,2.102,75.783,90510,9.1,20577
Antigua and Barbuda,2013,2.089,75.954,91404,8.7,20353
Argentina,1964,3.068,65.388,21966478,57.43,8227
Argentina,1965,3.058,65.481,22296628,57.43,8818
Argentina,1966,3.051,65.603,22622012,58.63,8709
Argentina,1967,3.048,65.759,22944941,58.52,8782
Argentina,1968,3.049,65.953,23273148,58.32,9003
Argentina,1969,3.056,66.184,23616971,73.2,9610
Argentina,1970,3.073,66.449,23983358,72.4,9951
Argentina,1971,3.104,66.74,24376109,71.5,10167
Argentina,1972,3.148,67.044,24791983,70.4,10209
Argentina,1973,3.203,67.349,25222223,68.8,10419
Argentina,1974,3.264,67.652,25654154,66.6,10809
Argentina,1975,3.321,67.95,26078731,63.8,10571
Argentina,1976,3.366,68.248,26492716,60.2,10408
Argentina,1977,3.391,68.549,26899177,55.9,10918
Argentina,1978,3.391,68.856,27303001,51.4,10406
Argentina,1979,3.368,69.164,27711808,47,10976
Argentina,1980,3.325,69.464,28131040,43.1,10982
Argentina,1981,3.27,69.746,28561561,40,10221
Argentina,1982,3.213,70.004,29001060,37.6,9765
Argentina,1983,3.163,70.235,29447973,35.8,10030
Argentina,1984,3.123,70.439,29899743,34.4,10102
Argentina,1985,3.093,70.624,30354240,33.1,9262
Argentina,1986,3.073,70.798,30810984,31.9,9810
Argentina,1987,3.056,70.972,31269799,30.8,9936
Argentina,1988,3.037,71.156,31729130,29.7,9620
Argentina,1989,3.016,71.353,32187173,28.6,8820
Argentina,1990,2.989,71.566,32642442,27.6,8539
Argentina,1991,2.956,71.791,33093579,26.6,9333
Argentina,1992,2.918,72.024,33540023,25.7,10130
Argentina,1993,2.875,72.257,33982035,24.8,10602
Argentina,1994,2.827,72.489,34420352,24.1,11108
Argentina,1995,2.774,72.719,34855160,23.4,10673
Argentina,1996,2.717,72.945,35287113,22.7,11150
Argentina,1997,2.657,73.169,35714929,22,11935
Argentina,1998,2.596,73.39,36134642,21.4,12268
Argentina,1999,2.535,73.608,36541029,20.8,11722
Argentina,2000,2.477,73.822,36930709,20.2,11504
Argentina,2001,2.424,74.033,37302116,19.7,10875
Argentina,2002,2.379,74.24,37657340,19.2,9574
Argentina,2003,2.34,74.444,38001251,18.6,10318
Argentina,2004,2.31,74.645,38340778,17.9,11135
Argentina,2005,2.286,74.843,38681174,17.1,12039
Argentina,2006,2.268,75.036,39023850,16.4,12913
Argentina,2007,2.254,75.225,39368066,15.8,13873
Argentina,2008,2.241,75.41,39714298,15.4,14646
Argentina,2009,2.228,75.592,40062470,15,14605
Argentina,2010,2.215,75.772,40412376,14.6,15765
Argentina,2011,2.201,75.95,40764561,14.2,16972
Argentina,2012,2.188,76.128,41118986,13.8,17101
Argentina,2013,2.175,76.305,41473982,13.3,17629
Armenia,1964,4.161,67.714,2138133,66.85,2823
Armenia,1965,3.979,68.151,2204650,63.58,2945
Armenia,1966,3.788,68.587,2269475,60.86,3051
Armenia,1967,3.606,69.015,2332624,63.13,3151
Armenia,1968,3.447,69.425,2394635,65.49,3300
Armenia,1969,3.314,69.808,2456370,67.93,3313
Armenia,1970,3.208,70.143,2518408,70.47,3533
Armenia,1971,3.118,70.411,2580894,73.1,3589
Armenia,1972,3.032,70.604,2643464,75.83,3571
Armenia,1973,2.942,70.722,2705584,78.66,3832
Armenia,1974,2.846,70.774,2766495,81.59,3871
Armenia,1975,2.745,70.782,2825650,84.64,3810
Armenia,1976,2.646,70.782,2882831,87.8,3917
Armenia,1977,2.555,70.797,2938181,84.3,3937
Armenia,1978,2.479,70.837,2991954,81,3964
Armenia,1979,2.421,70.896,3044564,77.8,3877
Armenia,1980,2.385,70.936,3096298,74.8,3815
Armenia,1981,2.373,70.909,3145885,71.8,3783
Armenia,1982,2.381,70.775,3192877,69.1,3809
Armenia,1983,2.406,70.518,3239212,66.4,3862
Armenia,1984,2.441,70.149,3287588,63.8,3840
Armenia,1985,2.481,69.697,3339147,61.4,3805
Armenia,1986,2.519,69.204,3396511,59,3890
Armenia,1987,2.549,68.731,3457054,56.6,3872
Armenia,1988,2.566,68.331,3510439,81.6,3886
Armenia,1989,2.565,68.037,3542720,52,3889
Armenia,1990,2.538,67.877,3544695,49.7,3736
Armenia,1991,2.482,67.864,3512051,47.4,3329
Armenia,1992,2.399,67.979,3449940,45.1,1973
Armenia,1993,2.295,68.199,3370373,42.8,1842
Armenia,1994,2.176,68.513,3290540,40.6,1988
Armenia,1995,1.8,68.91,3223173,38.6,2169
Armenia,1996,1.8,69.376,3172185,36.7,2333
Armenia,1997,1.7,69.891,3134836,34.9,2438
Armenia,1998,1.5,70.43,3109101,33.2,2636
Armenia,1999,1.4,70.971,3090624,31.6,2740
Armenia,2000,1.3,71.494,3076098,30.1,2919
Armenia,2001,1.2,71.981,3065810,28.6,3214
Armenia,2002,1.2,72.43,3061067,27.2,3654
Armenia,2003,1.4,72.836,3060554,25.9,4182
Armenia,2004,1.4,73.192,3062612,24.6,4635
Armenia,2005,1.4,73.491,3065954,23.3,5297
Armenia,2006,1.3,73.73,3069844,22.2,6020
Armenia,2007,1.4,73.92,3074181,21.1,6877
Armenia,2008,1.4,74.07,3079087,20,7383
Armenia,2009,1.6,74.191,3084979,19,6358
Armenia,2010,1.55,74.291,3092072,18,6508
Armenia,2011,1.5,74.381,3100236,17.2,6812
Armenia,2012,1.739,74.469,3108972,16.3,7291
Armenia,2013,1.74,74.561,3117722,15.5,7527
Aruba,1964,4.059,67.113,57031,,5505
Aruba,1965,3.842,67.435,57362,,5642
Aruba,1966,3.625,67.762,57714,,5783
Aruba,1967,3.417,68.095,58052,,5927
Aruba,1968,3.226,68.436,58388,,6075
Aruba,1969,3.054,68.784,58725,,6227
Aruba,1970,2.908,69.14,59066,,6382
Aruba,1971,2.788,69.498,59439,,6904
Aruba,1972,2.691,69.851,59849,,7470
Aruba,1973,2.613,70.192,60238,,8084
Aruba,1974,2.552,70.519,60524,,8756
Aruba,1975,2.506,70.834,60654,,9493
Aruba,1976,2.472,71.14,60589,,10305
Aruba,1977,2.446,71.441,60366,,11197
Aruba,1978,2.425,71.737,60108,,12166
Aruba,1979,2.408,72.023,59980,,13194
Aruba,1980,2.392,72.294,60099,26.34,14273
Aruba,1981,2.377,72.539,60570,25.4,15377
Aruba,1982,2.364,72.752,61347,24.6,16508
Aruba,1983,2.353,72.929,62208,23.96,17725
Aruba,1984,2.342,73.071,62833,23.48,19124
Aruba,1985,2.332,73.181,63030,23.14,20789
Aruba,1986,2.32,73.262,62645,22.91,22827
Aruba,1987,2.307,73.325,61830,22.76,26876
Aruba,1988,2.291,73.378,61069,22.62,32328
Aruba,1989,2.272,73.425,61026,22.5,36284
Aruba,1990,2.249,73.468,62147,22.36,37014
Aruba,1991,2.221,73.509,64642,22.23,38310
Aruba,1992,2.187,73.544,68286,22.1,38238
Aruba,1993,2.149,73.573,72573,22,38477
Aruba,1994,2.108,73.598,76762,21.91,39318
Aruba,1995,2.064,73.622,80323,21.83,38602
Aruba,1996,2.021,73.645,83069,21.76,38003
Aruba,1997,1.979,73.669,85161,21.68,40312
Aruba,1998,1.94,73.697,86827,21.6,42565
Aruba,1999,1.905,73.734,88442,21.49,42564
Aruba,2000,1.874,73.783,90271,21.35,43703
Aruba,2001,1.848,73.852,92363,21.15,42445
Aruba,2002,1.825,73.94,94596,20.89,40288
Aruba,2003,1.805,74.048,96875,20.57,39246
Aruba,2004,1.786,74.175,99046,20.2,41057
Aruba,2005,1.769,74.316,100996,19.8,40737
Aruba,2006,1.754,74.467,102711,19.37,40209
Aruba,2007,1.739,74.621,104225,18.95,40558
Aruba,2008,1.726,74.772,105526,18.55,38594
Aruba,2009,1.713,74.919,106612,18.18,35573
Aruba,2010,1.701,75.059,107488,17.84,33288
Aruba,2011,1.69,75.193,108141,17.55,36016
Aruba,2012,1.681,75.324,108587,17.28,35419
Aruba,2013,1.673,75.455,108883,17.03,36083
Australia,1964,3.154,70.65,11122567,22.7,16098
Australia,1965,2.973,70.98,11359763,22.4,16601
Australia,1966,2.885,70.82,11617580,22.1,16756
Australia,1967,2.847,71.1,11892163,22,17570
Australia,1968,2.886,70.73,12175746,21.9,18261
Australia,1969,2.887,71.14,12457299,21.7,18949
Australia,1970,2.859,70.81,12728362,21.4,19719
Australia,1971,2.945,71.41,12987847,20.9,20176
Australia,1972,2.743,71.93,13236895,20.2,20385
Australia,1973,2.491,72.14,13472175,19.4,21185
Australia,1974,2.321,71.89,13690285,18.4,21383
Australia,1975,2.148,72.84,13889696,17.3,21708
Australia,1976,2.06,72.88,14067994,16.2,22372
Australia,1977,2.007,73.49,14227905,15.3,22373
Australia,1978,1.949,73.88,14379565,14.4,22763
Australia,1979,1.907,74.44,14536839,13.6,23697
Australia,1980,1.891,74.6,14709918,13,23872
Australia,1981,1.935,74.96,14901610,12.5,24308
Australia,1982,1.929,74.74,15109659,12.2,23884
Australia,1983,1.924,75.55,15332790,11.9,23584
Australia,1984,1.84,76.02,15567927,11.6,24934
Australia,1985,1.923,75.45,15812088,11.3,25875
Australia,1986,1.868,76.13,16066496,11,26057
Australia,1987,1.845,76.32,16330369,10.6,26969
Australia,1988,1.831,76.35,16596096,10.2,27757
Australia,1989,1.838,76.45,16853690,9.7,28556
Australia,1990,1.902,77.05,17096153,9.2,28604
Australia,1991,1.849,77.54,17320633,8.6,28122
Australia,1992,1.888,77.54,17529469,8.1,27895
Australia,1993,1.859,78.07,17727413,7.7,28732
Australia,1994,1.842,78.07,17921818,7.3,29580
Australia,1995,1.822,78.45,18118416,7,30359
Australia,1996,1.796,78.53,18319637,6.8,31145
Australia,1997,1.778,78.79,18525153,6.6,32013
Australia,1998,1.762,79.28,18734878,6.5,33085
Australia,1999,1.755,79.53,18947894,6.4,34346
Australia,2000,1.756,79.93,19164351,6.2,35253
Australia,2001,1.729,80.27,19382188,6.1,35452
Australia,2002,1.756,80.29,19604051,6,36375
Australia,2003,1.748,80.69,19840120,5.9,37035
Australia,2004,1.763,81.04,20103822,5.9,38130
Australia,2005,1.791,81.44,20403520,5.7,38840
Australia,2006,1.817,81.63,20744295,5.6,39416
Australia,2007,1.92,81.67,21119988,5.4,40643
Australia,2008,1.956,81.567,21513817,5.2,41312
Australia,2009,1.903,81.937,21902300,5,41170
Australia,2010,1.886,82.091,22268384,4.8,41330
Australia,2011,1.884,82.231,22605732,4.5,41706
Australia,2012,1.887,82.364,22918688,4.2,42522
Australia,2013,1.882,82.496,23213944,4,42840
Austria,1964,2.795,70.16,7220812,34.2,13915
Austria,1965,2.703,69.95,7268015,32.7,14213
Austria,1966,2.663,70.26,7312775,31.5,14898
Austria,1967,2.621,70.14,7355039,30.5,15228
Austria,1968,2.586,70.29,7394601,29.8,15814
Austria,1969,2.488,70.06,7431574,29.3,16743
Austria,1970,2.292,70.11,7465908,29,17865
Austria,1971,2.2,70.31,7497731,28.7,18698
Austria,1972,2.085,70.63,7526469,28,19747
Austria,1973,1.938,71.21,7550638,26.8,20602
Austria,1974,1.908,71.2,7568347,25.1,21381
Austria,1975,1.827,71.33,7578498,23.1,21364
Austria,1976,1.688,71.82,7580564,21.1,22385
Austria,1977,1.631,72.17,7575669,19.4,23427
Austria,1978,1.604,72.25,7566450,18.1,23364
Austria,1979,1.598,72.56,7556551,17.1,24684
Austria,1980,1.652,72.7,7548798,16.3,25259
Austria,1981,1.674,73.02,7544359,15.5,25187
Austria,1982,1.661,73.18,7543194,14.8,25637
Austria,1983,1.559,73.25,7545472,14.1,26435
Austria,1984,1.522,73.79,7550960,13.3,26522
Austria,1985,1.474,74.01,7559621,12.6,27100
Austria,1986,1.449,74.49,7570906,11.8,27707
Austria,1987,1.432,74.93,7585345,11.1,28136
Austria,1988,1.447,75.41,7605095,10.5,28951
Austria,1989,1.446,75.5,7632984,10,30067
Austria,1990,1.457,75.77,7670513,9.5,31053
Austria,1991,1.507,75.83,7719577,9,31802
Austria,1992,1.505,76.04,7778255,8.5,32113
Austria,1993,1.501,76.27,7839625,8,32017
Austria,1994,1.465,76.59,7894229,7.4,32660
Austria,1995,1.424,76.83,7935624,6.8,33480
Austria,1996,1.446,77.1,7960464,6.4,34237
Austria,1997,1.393,77.5,7971553,6,34952
Austria,1998,1.37,77.87,7976117,5.8,36157
Austria,1999,1.34,78.05,7984694,5.6,37382
Austria,2000,1.365,78.33,8004712,5.5,38548
Austria,2001,1.33,78.83,8038480,5.4,38919
Austria,2002,1.393,78.96,8083059,5.3,39370
Austria,2003,1.376,78.96,8134235,5.2,39475
Austria,2004,1.419,79.47,8185553,5,40292
Austria,2005,1.406,79.64,8232196,4.9,40875
Austria,2006,1.405,80.1,8273208,4.8,42036
Austria,2007,1.379,80.3,8309783,4.6,43418
Austria,2008,1.411,80.51,8341806,4.6,43952
Austria,2009,1.391,80.392,8369639,4.5,42171
Austria,2010,1.438,80.595,8393644,4.4,42861
Austria,2011,1.443,80.785,8413429,4.2,44029
Austria,2012,1.457,80.965,8428915,4,44216
Austria,2013,1.471,81.137,8441263,3.9,44059
Azerbaijan,1964,5.468,62.701,4440733,93.61,5751
Azerbaijan,1965,5.352,63.117,4574500,90.2,6012
Azerbaijan,1966,5.21,63.533,4702919,86.86,6241
Azerbaijan,1967,5.056,63.945,4826262,83.54,6458
Azerbaijan,1968,4.901,64.342,4944932,80.41,6778
Azerbaijan,1969,4.753,64.712,5059921,77.44,6819
Azerbaijan,1970,4.612,65.035,5172002,75.11,7285
Azerbaijan,1971,4.479,65.287,5281238,72.93,7416
Azerbaijan,1972,4.348,65.457,5387375,71.36,7395
Azerbaijan,1973,4.216,65.545,5490572,74.39,7952
Azerbaijan,1974,4.084,65.554,5591016,77.55,8076
Azerbaijan,1975,3.95,65.496,5688997,80.85,7994
Azerbaijan,1976,3.814,65.387,5784587,84.29,8263
Azerbaijan,1977,3.676,65.254,5878259,87.87,8351
Azerbaijan,1978,3.539,65.124,5971198,91.6,8456
Azerbaijan,1979,3.407,65.017,6064905,95.5,8315
